Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,RAM,Storage Capacity,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Channel,Priority,Cost Price,Sale Price,Discount Amount,Finance Amount,Credit Score,Cost of Repairs,Total Sales per Employee,PC Market Price,Purchase Date,Ship Date
North America,Florida,Tallahassee,Mini Tech,10,Dell,G Series,SSD,4GB,500GB,Darius,Hines,(017)144-4339x523,rebeccatrujillo@example.net,Richard Patterson,New Sales,Finance,Online,Medium,20735,24629,622,38868,490,0,658,20866,2021-07-17,2021-08-05
Africa,Botswana,Ghanzi,Mini Tech,10,Apple,Apple MacBook Air,SSD,2GB,500GB,Nichole,Wood,016-952-2265x58266,patrickwilson@example.com,Sarah Riley,Returns,Finance,Offline,Low,5499,9944,294,17561,727,0,754,7836,2022-06-17,N/A
North America,Georgia,Albany,KyaSand Tech Gadgets,3,Dell,XPS,SSD,2GB,500GB,Tracy,Clark,056.270.6056,holtchristina@example.org,Renee Howell,Repairs,Bank Transfer,Offline,Medium,26733,30795,996,0,529,1103,869,30696,2021-08-31,N/A
North America,Texas,Lubbock,GH PC Shop,2,Toshiba,Libretto,HDD,16GB,1TB,Jeffrey,Smith,429.693.0775x0114,rlopez@example.com,Laurie Wright,Returns,Finance,Offline,Low,28370,30834,390,45285,675,0,773,28619,2022-01-31,N/A
North America,Florida,Cape Coral,ABC Computers,7,Acer,Swift 3,HDD,4GB,500GB,Summer,Freeman,(613)816-6767x14401,lbarrett@example.com,Rachel Rowe,Second-hand Sales,Cash,Offline,Medium,21013,25436,996,0,837,0,117,22515,2021-05-20,N/A
Africa,Nigeria,Anambra,Ricks Computers,3,Asus,ROG Strix Scar III,SSD,4GB,1TB,Cindy,Ford,118.688.9011x4372,andersoncameron@example.com,Diana Waters,Second-hand Sales,Cash,Offline,High,10497,15253,121,0,515,0,83,14893,2023-05-28,N/A
North America,Florida,Port St. Lucie,Jacks Hardware,1,Toshiba,Qosmio,HDD,2GB,1TB,Mary,Brown,200-374-0829x5289,angeladougherty@example.net,Raymond Larson,Repairs,Bank Transfer,Offline,Medium,9617,13198,479,0,433,3468,489,13115,2024-03-05,N/A
Africa,South Africa,Limpopo,S & A Computer Place,2,Acer,Predator Triton 500,SSD,2GB,500GB,Anne,Frazier,(281)531-6256x819,leonardsara@example.com,Daniel Lane,Repairs,Finance,Online,Low,20267,24005,882,21624,662,2203,844,22264,2022-04-06,2022-04-08
Africa,Tanzania,Mbeya,XYZ Tech,7,Toshiba,Dynabook,HDD,4GB,1TB,Tara,May,168-061-0391x8895,deannasmith@example.com,Corey Rasmussen,Repairs,Cash,Online,High,5058,8050,617,0,736,4502,139,5929,2021-08-08,2021-08-24
North America,California,Anaheim,Frankies Hardware and Software,6,Samsung,Notebook 7 Spin,HDD,4GB,1TB,Jamie,Ortega,(592)010-9074x780,tracygill@example.net,Joe Black,Second-hand Sales,Cash,Offline,Low,22990,26918,428,0,731,0,86,26310,2023-07-12,N/A
Africa,Kenya,Nyandarua,A & A PCs,1,Acer,Aspire 5,HDD,16GB,256GB,Melissa,Wall,+1-396-970-0493,smartin@example.com,Christopher Santos,Second-hand Sales,Bank Transfer,Offline,Medium,20619,22729,205,0,539,0,456,22413,2023-02-21,N/A
North America,Michigan,Battle Creek,CK Tech Store,2,Lenovo,ThinkCentre M920 Tiny,HDD,16GB,500GB,Brandon,Hickman,001-928-896-5919,jack99@example.net,Michael Gomez,Second-hand Sales,Finance,Offline,Medium,23247,27547,712,48614,711,0,348,27186,2022-07-25,N/A
Africa,Ghana,Central,ABC Computers,8,Microsoft,Surface Neo,SSD,8GB,500GB,Jose,Murphy,305.894.3230x80831,briannahancock@example.net,Diana Ashley MD,Repairs,Finance,Offline,Low,13353,17899,692,16625,480,4185,353,16557,2023-01-03,N/A
North America,North Carolina,Chapel Hill,Mini Tech,9,Asus,Chromebook Flip C434,HDD,8GB,256GB,Rebecca,Lewis,(865)431-2191x9127,mannjason@example.com,Morgan Moore,Second-hand Sales,Bank Transfer,Online,Low,4947,9520,933,0,845,0,412,8659,2022-05-16,2022-06-13
North America,Michigan,Lansing,DEF Machines,6,Lenovo,ThinkPad T14,SSD,2GB,256GB,Matthew,Hayes,001-323-666-8327x1557,theodoremooney@example.com,Veronica Larson,Second-hand Sales,Cash,Offline,Low,19309,23703,654,0,593,0,668,22591,2024-01-04,N/A
Africa,Nigeria,Kebbi,CK Tech Store,10,Apple,Apple Macintosh SE,SSD,8GB,1TB,Stephanie,Nielsen,004-230-5303x0991,andrew13@example.com,Pamela Morgan,New Sales,Cash,Online,High,21747,25037,487,0,435,0,476,22236,2023-08-15,2023-08-23
North America,California,Chula Vista,XYZ Tech,10,Asus,ZenBook Flip S UX371,HDD,8GB,1TB,Rebecca,Robbins,+1-672-144-7110x7411,patricia03@example.net,Ryan Bradley,New Sales,Bank Transfer,Online,Medium,29783,33255,803,0,515,0,889,31341,2023-12-25,2024-01-14
Africa,Egypt,Port Said,LJ Computers,9,Samsung,Notebook 9 Pro,HDD,16GB,500GB,Carolyn,Little,953-009-3004x3301,laura57@example.com,Diana Owens,Repairs,Cash,Online,Low,24835,27137,734,0,780,2509,837,26286,2021-11-02,2021-11-28
North America,Illinois,Oak Lawn,Benjis Tech,8,Acer,Swift 3,SSD,2GB,256GB,Kara,Stanley,617.948.8322x33990,campbelldenise@example.net,Glenda Cohen,New Sales,Cash,Offline,High,17155,21252,529,0,770,0,228,19101,2022-08-09,N/A
North America,Georgia,Albany,CK Tech Store,2,Microsoft,Surface Pro,HDD,4GB,500GB,Jessica,Gibson,9399750602,kristinagillespie@example.com,Rebecca Brown,Repairs,Finance,Online,High,28226,31783,442,23918,525,1588,685,29731,2023-07-21,2023-08-04
North America,Pennsylvania,Harrisburg,ABC Computers,1,Toshiba,Portege,SSD,8GB,1TB,James,Hamilton,181-048-0830x69428,allisonvalencia@example.org,Michael Smith,New Sales,Cash,Offline,High,22602,25247,893,0,653,0,17,24135,2021-05-08,N/A
North America,Georgia,Alpharetta,GHI Machines,5,Lenovo,ThinkPad X1 Yoga,HDD,8GB,256GB,Connie,Krause,170.408.6750,rhonda10@example.net,Renee Howell,New Sales,Finance,Offline,Medium,5478,7767,864,23821,424,0,503,5538,2023-08-25,N/A
North America,Texas,McKinney,ABC Computers,4,Toshiba,Portege,SSD,2GB,256GB,Larry,Barajas,(154)045-0723,george49@example.net,Ashley Wright,New Sales,Finance,Offline,High,4499,7584,615,8564,556,0,217,5044,2021-06-16,N/A
Africa,Ethiopia,Dire Dawa,Western International PCs,4,Acer,Aspire 5,SSD,4GB,256GB,Andrew,Taylor,429-410-6632,rachaeldonaldson@example.com,Alexa Hopkins,Repairs,Bank Transfer,Online,Medium,15129,19718,496,0,576,3014,447,18531,2022-02-18,2022-03-15
North America,Illinois,Joliet,S & A Computer Place,7,Asus,ZenBook UX425,SSD,4GB,1TB,Brandon,Jordan,120.616.4590x0057,harriscory@example.org,Glenda Cohen,Returns,Bank Transfer,Online,Medium,27667,32055,292,0,507,0,558,30394,2021-10-12,2021-10-27
North America,Pennsylvania,Bethlehem,Benjis Tech,3,Toshiba,Chromebook,HDD,16GB,1TB,Kristine,Stevenson,(099)384-2652x572,russelllee@example.org,Michael Chan,Repairs,Cash,Online,Medium,15486,19602,961,0,837,1885,101,18655,2023-09-19,2023-10-08
North America,California,Stockton,XYZ Tech,10,Asus,ROG Strix Scar III,HDD,4GB,1TB,Christopher,Miller,8586486422,wardjohn@example.org,Alyssa Martinez,Repairs,Cash,Offline,Medium,3453,6979,81,0,604,2991,764,5684,2021-09-03,N/A
North America,New York,Niagara Falls,CK Tech Store,3,Acer,Predator Triton 500,SSD,2GB,256GB,Sarah,Young,001-757-170-7593,kjones@example.net,Jake Lee,Repairs,Bank Transfer,Offline,Medium,8135,12429,585,0,850,4391,148,11114,2023-07-15,N/A
North America,Michigan,Ann Arbor,ABC Computers,10,Dell,Venue,SSD,16GB,1TB,Pamela,Burch,(645)860-4563x9458,xwalker@example.com,Michael Gomez,Returns,Bank Transfer,Offline,Low,11331,15802,342,0,592,0,907,14727,2023-09-22,N/A
North America,Florida,West Palm Beach,S & A Computer Place,1,Lenovo,IdeaPad Flex 5,SSD,16GB,500GB,Kimberly,Gomez,+1-710-972-9357x7228,nmcdowell@example.org,Deborah Anderson MD,Returns,Cash,Offline,High,6277,9310,295,0,621,0,268,6975,2021-04-21,N/A
Africa,South Africa,Free State,GHI Machines,3,Acer,Nitro 5,SSD,8GB,500GB,Michael,Kelley,001-744-411-1402x92351,harperashley@example.net,Daniel Lane,Repairs,Cash,Offline,Medium,7512,10485,208,0,585,2081,808,7561,2023-05-08,N/A
North America,Florida,Port St. Lucie,S & A Computer Place,7,MSI,Modern 15,SSD,16GB,500GB,Krystal,Miller,+1-270-635-2454x07320,williamsdorothy@example.net,Alexis Murray,Returns,Cash,Offline,Medium,26771,31730,266,0,473,0,852,27901,2021-09-17,N/A
Africa,Botswana,Ghanzi,CK Tech Store,8,Acer,Aspire E 15,HDD,2GB,500GB,Christopher,James,578.179.7246x08163,jennahughes@example.com,Madison Davis,New Sales,Bank Transfer,Offline,Medium,9615,13605,627,0,710,0,513,10823,2023-05-17,N/A
North America,North Carolina,Cary,Frankies Hardware and Software,1,HP,Stream,SSD,4GB,256GB,Dennis,Berry,(903)590-5131x3196,kellysmith@example.org,Tony Valenzuela,New Sales,Finance,Offline,Low,6121,8363,264,48165,624,0,799,7118,2021-09-06,N/A
North America,California,Fresno,GH PC Shop,7,Microsoft,Surface Book,SSD,16GB,1TB,John,Campbell,+1-698-672-6483x3680,juanbennett@example.org,Alyssa Martinez,New Sales,Cash,Offline,Medium,19368,23980,343,0,567,0,143,22282,2021-04-19,N/A
North America,New York,Hempstead,Western International PCs,10,Apple,Apple MacBook Pro,SSD,2GB,500GB,Stacie,White,001-547-461-6315x4363,matthewthompson@example.com,Gabrielle Patterson,Repairs,Finance,Offline,Low,26554,29341,693,28760,422,2352,475,27550,2021-07-12,N/A
North America,Ohio,Lorain,XYZ Tech,3,Apple,Apple iMac,SSD,16GB,256GB,Andrew,Torres,479-794-9931x6981,lauren18@example.com,Eric James,Repairs,Cash,Offline,Low,24750,27735,377,0,794,2288,792,27245,2021-04-07,N/A
Africa,Ghana,Western,ABC Computers,10,Microsoft,Surface Go,SSD,16GB,500GB,Robert,Campbell,001-826-789-0884x746,nguzman@example.com,Jonathan Miller,Returns,Finance,Online,Low,16899,20433,708,36108,538,0,154,17403,2021-07-17,2021-07-18
North America,Ohio,Euclid,Greens Laptops and PCs,10,MSI,Alpha 15,HDD,8GB,1TB,Calvin,Smith,374-131-0065x945,fjames@example.org,Mr. Nathan Douglas,Repairs,Cash,Online,Medium,28947,31555,892,0,822,1781,606,31531,2022-02-14,2022-03-10
North America,Pennsylvania,Scranton,GHI Machines,9,Lenovo,IdeaCentre AIO 3,HDD,4GB,1TB,David,Mcclure,(532)136-3636x184,dduke@example.net,Carol Wells,Returns,Finance,Online,High,13562,17180,968,18249,743,0,591,16111,2023-07-12,2023-07-29
North America,Pennsylvania,Harrisburg,LJ Computers,10,HP,ZBook,SSD,4GB,1TB,Nancy,Rodriguez,(192)336-9892x06313,theodorewest@example.com,Michael Smith,New Sales,Bank Transfer,Offline,Medium,18776,21148,753,0,799,0,825,20467,2023-09-12,N/A
North America,Florida,Gainesville,GH PC Shop,10,Acer,Nitro 5,HDD,8GB,256GB,Frank,Yoder,(744)706-8307,milleramy@example.net,Tanya Mcclure,Returns,Cash,Online,Low,8435,12962,693,0,759,0,84,10830,2024-01-03,2024-01-12
Africa,Angola,Bengo,CK Tech Store,10,HP,ZBook,HDD,16GB,500GB,Rebecca,Mcbride,630-409-9934,stewartbarry@example.org,Ruben Snow,Second-hand Sales,Bank Transfer,Offline,Low,5267,9226,43,0,550,0,939,5574,2024-02-06,N/A
North America,Michigan,Lansing,GH PC Shop,7,HP,Chromebook,SSD,8GB,500GB,Hannah,Andrews,935-765-3134x994,bobby21@example.com,Kevin Padilla,New Sales,Bank Transfer,Offline,High,10942,14120,690,0,840,0,856,13425,2021-08-19,N/A
Africa,Angola,Bengo,ABC Computers,4,HP,Spectre,SSD,16GB,256GB,Michelle,Mclaughlin,+1-977-538-9097,tony81@example.org,Cassidy Mason,Second-hand Sales,Finance,Online,Low,11819,14295,730,2406,443,0,365,13891,2023-12-29,2024-01-03
North America,North Carolina,Salisbury,Western International PCs,2,Toshiba,Satellite,HDD,8GB,256GB,Don,Anderson,001-588-445-1857,robinsonalexis@example.net,Catherine Cuevas,Returns,Cash,Offline,High,19902,24379,650,0,720,0,387,21064,2022-11-13,N/A
Africa,Ethiopia,Tigray,Mini Tech,1,MSI,Modern 15,HDD,8GB,500GB,Sheri,Tyler,001-434-972-1224,jefferydavis@example.com,Rachel Guerrero,Second-hand Sales,Cash,Offline,High,9192,14188,637,0,779,0,180,9655,2021-05-03,N/A
North America,Pennsylvania,York,KyaSand Tech Gadgets,6,Dell,Alienware,HDD,8GB,1TB,Brian,Ramirez,(080)509-8265,narnold@example.com,Thomas Perry,Second-hand Sales,Cash,Online,Low,25022,29923,623,0,733,0,490,25949,2022-04-26,2022-05-20
Africa,Tanzania,Iringa,DEF Machines,8,Acer,Aspire E 15,SSD,16GB,256GB,Joseph,Smith,+1-148-860-6244x306,connormiller@example.com,Mary Fisher,Second-hand Sales,Bank Transfer,Online,Medium,26894,30377,201,0,792,0,756,29553,2023-05-25,2023-06-22
Africa,Nigeria,Kogi,LJ Computers,1,HP,Elitebook,HDD,2GB,1TB,Rebecca,Mccoy,657-461-6436x61816,elopez@example.org,Pamela Morgan,Second-hand Sales,Bank Transfer,Offline,Medium,27266,30354,922,0,422,0,906,29971,2022-07-16,N/A
North America,Texas,Brownsville,S & A Computer Place,7,Acer,Aspire 5,HDD,8GB,500GB,Justin,Perez,(458)837-3886x9553,millerdavid@example.net,Courtney Morgan,Repairs,Cash,Offline,Medium,20141,22927,114,0,808,2565,700,20263,2021-06-23,N/A
Africa,Tanzania,Lindi,Mini Tech,1,Dell,Inspiron,SSD,4GB,500GB,Shawn,George,021.060.5944,sarah66@example.com,Mary Fisher,Second-hand Sales,Cash,Online,Medium,23688,28667,719,0,696,0,600,23850,2023-03-05,2023-03-10
North America,Illinois,Joliet,GH PC Shop,1,MSI,GS75 Stealth,HDD,2GB,1TB,Robert,Thompson,807-279-3925x17846,jennifer26@example.org,Glenda Cohen,Second-hand Sales,Cash,Offline,High,21368,24821,985,0,826,0,325,23334,2021-08-15,N/A
Africa,Morocco,Tata,GH PC Shop,1,Toshiba,Chromebook,HDD,8GB,500GB,Laura,Simmons,1868836237,tammyhawkins@example.net,Emma Scott,New Sales,Cash,Online,Medium,9430,12958,181,0,458,0,398,12102,2023-01-11,2023-02-09
Africa,Nigeria,Plateau,S & A Computer Place,9,Toshiba,Dynabook,HDD,4GB,256GB,Raymond,Mccoy,1365505396,seanblack@example.com,Brian Gonzales,Second-hand Sales,Finance,Online,High,3511,8281,552,3759,482,0,111,5422,2023-05-31,2023-06-07
Africa,Egypt,Qalyubia,ABC Computers,2,Samsung,Notebook 9,HDD,8GB,500GB,Tracy,Young,303-117-0756,katie43@example.com,Jeffrey Nelson,Second-hand Sales,Bank Transfer,Online,Low,16645,20139,891,0,428,0,194,18366,2023-03-06,2023-04-02
North America,New York,Albany,GHI Machines,9,Lenovo,ThinkPad T14,HDD,4GB,256GB,Julie,Bradley,001-254-405-4995x950,davidjames@example.com,Ashley Miranda,Second-hand Sales,Bank Transfer,Offline,Medium,13806,18146,656,0,551,0,516,17360,2022-04-09,N/A
Africa,Ghana,Central,Mini Tech,2,Toshiba,Satellite,HDD,8GB,1TB,Troy,Murphy,567-043-2372,lawrenceblake@example.org,Amanda Hurley,Second-hand Sales,Finance,Offline,High,26038,28450,209,33745,660,0,595,27283,2023-04-02,N/A
North America,Georgia,Rome,CK Tech Store,2,Asus,TUF Gaming A15,HDD,2GB,1TB,Cole,Suarez,(305)149-8172,nweber@example.org,Chris Jones,Returns,Finance,Offline,High,24603,27923,964,41280,439,0,834,25079,2022-03-29,N/A
Africa,Botswana,North-East,Greens Laptops and PCs,2,Samsung,Galaxy Chromebook 2,SSD,2GB,500GB,Cynthia,Sanford,487-534-8422x99066,eray@example.net,Justin Schroeder,Second-hand Sales,Cash,Online,Low,7347,11167,984,0,445,0,947,8444,2021-05-19,2021-06-06
North America,Illinois,Palatine,ABC Computers,3,Microsoft,Surface Book,HDD,8GB,1TB,Christian,Trujillo,7573990530,jamesbrown@example.org,Katie Fernandez,Returns,Finance,Online,Medium,2896,7845,57,34246,775,0,904,6412,2021-11-04,2021-11-15
North America,Illinois,Decatur,KyaSand Tech Gadgets,8,Apple,Apple iMac,SSD,16GB,1TB,Nicholas,Diaz,+1-344-445-4555x15576,fernandezmelinda@example.com,Amanda Mitchell,Repairs,Bank Transfer,Offline,Low,12590,16837,56,0,583,3896,868,14401,2023-03-10,N/A
North America,Florida,Pembroke Pines,Benjis Tech,1,MSI,GL65 Leopard,HDD,4GB,500GB,Paul,Taylor,+1-147-897-8974x4096,garrettnancy@example.net,Tanya Mcclure,New Sales,Cash,Offline,Medium,14575,19547,242,0,795,0,81,16572,2021-08-19,N/A
North America,Ohio,Lakewood,ABC Computers,1,HP,Envy,HDD,2GB,256GB,Kelly,Morris,354-512-2463x592,owood@example.org,Diamond Baker,New Sales,Bank Transfer,Offline,Low,20680,24430,571,0,441,0,944,21844,2023-11-02,N/A
Africa,South Africa,Free State,Mini Tech,8,Dell,Latitude,HDD,8GB,256GB,Joseph,Johnson,2148295138,jesse66@example.net,Daniel Lane,Repairs,Finance,Online,Medium,19900,22314,640,15017,443,1947,546,20759,2022-11-07,2022-11-15
North America,Illinois,Bloomington,GH PC Shop,9,Microsoft,Surface Neo,HDD,2GB,256GB,Melissa,Burton,(887)482-3066,pricecarolyn@example.com,Daniel Serrano,Repairs,Finance,Offline,High,5343,7532,24,4363,641,3922,266,6434,2021-04-09,N/A
Africa,South Africa,Eastern Cape,ABC Computers,7,HP,Probook,SSD,2GB,500GB,Martin,Miller,(947)279-8734,davidwallace@example.com,Erin Williams,New Sales,Finance,Online,Medium,12109,14384,526,9764,643,0,339,12457,2023-09-24,2023-10-09
Africa,Ghana,Upper East,Benjis Tech,7,HP,ZBook,HDD,4GB,1TB,Tami,White,(991)982-7185x988,agonzalez@example.org,Jessica Morgan,Returns,Cash,Offline,Low,17684,22550,823,0,635,0,334,20767,2022-06-16,N/A
Africa,Tanzania,Lindi,XYZ Tech,9,Lenovo,ThinkPad X1 Carbon,HDD,2GB,256GB,Ruth,Howe,+1-304-126-2573,robert73@example.org,Corey Rasmussen,Second-hand Sales,Bank Transfer,Offline,High,4305,7665,565,0,524,0,753,5470,2022-10-05,N/A
Africa,Botswana,Kgatleng,ABC Computers,9,Microsoft,Surface Neo,SSD,4GB,500GB,Jacqueline,Saunders,721.515.7044,welchjoshua@example.org,Justin Schroeder,New Sales,Bank Transfer,Online,Low,29034,33186,359,0,409,0,591,32068,2024-03-03,2024-03-19
Africa,Morocco,Kenitra Province,ABC Computers,4,Acer,Aspire E 15,HDD,16GB,1TB,Donna,Monroe,+1-813-804-6473x28857,robertacosta@example.net,Gina Day,Returns,Finance,Online,Low,5486,10360,234,5643,517,0,310,7544,2022-11-06,2022-11-25
North America,New York,Binghamton,A & A PCs,4,MSI,GS66 Stealth,SSD,16GB,500GB,Kevin,Stevens,664-344-8932,hernandezrick@example.com,Gabrielle Patterson,New Sales,Finance,Offline,High,16817,18858,227,30742,608,0,264,17515,2022-03-17,N/A
North America,Texas,Arlington,Jacks Hardware,4,HP,Envy,HDD,8GB,256GB,Christopher,Ferguson,441.228.2176x1621,khenry@example.net,Mike Miranda,Repairs,Bank Transfer,Offline,Medium,16630,21303,663,0,736,3255,999,17743,2022-10-26,N/A
Africa,Ethiopia,Harari,Frankies Hardware and Software,2,Microsoft,Surface Neo,SSD,4GB,256GB,David,Martin,001-327-554-6705x420,woodstephanie@example.net,Christopher Nicholson,Second-hand Sales,Finance,Offline,High,9059,12645,523,28015,738,0,105,10575,2021-07-31,N/A
Africa,Ethiopia,Benishangul-Gumuz,Jacks Hardware,9,Samsung,Notebook 5,HDD,4GB,256GB,Justin,Johnson,813.983.0632x72809,tsampson@example.net,Jacob Spencer,Second-hand Sales,Bank Transfer,Offline,High,11040,13248,418,0,652,0,153,13198,2022-04-14,N/A
Africa,Ethiopia,Oromia,A & A PCs,7,Toshiba,Dynabook,HDD,2GB,500GB,Debbie,Ingram,7518768296,millerjeremy@example.net,Christopher Nicholson,Second-hand Sales,Finance,Online,Low,11767,14632,391,1930,719,0,907,13320,2023-06-14,2023-07-11
Africa,Tanzania,Songwe,GH PC Shop,2,Apple,Apple Macintosh SE,SSD,8GB,500GB,Matthew,Powers,(408)300-2165x66340,ibrown@example.net,Jennifer Morales,Second-hand Sales,Cash,Offline,Medium,17073,22003,628,0,827,0,38,21265,2023-10-18,N/A
Africa,Kenya,Kirinyaga,XYZ Tech,5,Microsoft,Surface Duo,HDD,4GB,1TB,Bradley,Mckee,001-904-773-0850x6421,joshuamartinez@example.com,Jeffrey Cook,Repairs,Finance,Online,Medium,28010,31349,560,16204,732,3786,321,28928,2022-12-29,2023-01-26
Africa,South Africa,Gauteng,Benjis Tech,10,Toshiba,Libretto,SSD,4GB,256GB,Dennis,Ramsey,784-293-3832x8872,gillespiejessica@example.com,Mary Nelson,Returns,Finance,Offline,Medium,17093,20525,840,27329,540,0,670,18677,2023-12-27,N/A
Africa,Kenya,Homa Bay,DEF Machines,1,Microsoft,Surface Book,HDD,2GB,1TB,Mariah,Perez,(773)718-6342x8197,hallcorey@example.org,Christopher Santos,New Sales,Bank Transfer,Online,High,19360,22490,232,0,820,0,691,19897,2021-12-08,2021-12-17
Africa,Tanzania,Shinyanga,Western International PCs,9,Acer,Aspire 5,SSD,2GB,1TB,Darlene,Graham,+1-024-742-1973x3707,shawn41@example.org,Dawn Perkins,Repairs,Bank Transfer,Offline,Low,4144,6698,253,0,428,2914,438,6650,2023-07-18,N/A
North America,California,Oakland,Frankies Hardware and Software,7,Acer,ConceptD 5,SSD,8GB,1TB,Donald,Hull,240-540-7790x15454,annamorales@example.net,Rachel Mitchell,Returns,Bank Transfer,Offline,Low,12923,16799,156,0,682,0,691,15417,2023-07-13,N/A
Africa,Morocco,Settat,DEF Machines,9,Asus,Chromebook Flip C434,SSD,8GB,500GB,Jade,Owen,988-752-2278,lynn12@example.com,Jessica Thomas,New Sales,Finance,Online,Low,21777,25094,617,15510,834,0,323,25068,2021-05-05,2021-05-08
North America,California,Chula Vista,GH PC Shop,3,Lenovo,ThinkPad X1 Carbon,SSD,2GB,256GB,Jessica,Marshall,(928)041-2598x6862,mayala@example.com,Sean Rodriguez,Returns,Bank Transfer,Online,High,28133,32803,935,0,635,0,56,32644,2024-01-01,2024-01-06
Africa,Egypt,Beheira,Mini Tech,10,Apple,Apple MacBook Air,SSD,2GB,1TB,Sara,Johnson,001-388-803-5406,estesnathan@example.net,Evan Scott,Second-hand Sales,Cash,Offline,High,28751,31335,557,0,582,0,842,28779,2022-01-19,N/A
Africa,Angola,Cabinda,CK Tech Store,1,Acer,Predator Helios 300,SSD,2GB,256GB,Rebecca,Kelly,096.156.9714,christopher48@example.net,Brian Clarke,Second-hand Sales,Bank Transfer,Offline,High,20872,25360,63,0,646,0,314,24122,2022-09-15,N/A
North America,Pennsylvania,Reading,ABC Computers,4,Samsung,Chromebook 4,SSD,8GB,256GB,Dominique,Lindsey,(612)169-2912,clementscrystal@example.com,Carol Wells,Returns,Cash,Online,Medium,4794,9672,523,0,586,0,338,6264,2021-04-14,2021-05-04
Africa,Egypt,Beheira,DEF Machines,1,MSI,Modern 15,SSD,16GB,256GB,Christopher,Mendoza,(088)030-3291x555,matthew21@example.com,Diana Owens,Second-hand Sales,Finance,Online,Medium,13027,17996,686,6672,819,0,476,15520,2023-09-14,2023-10-08
North America,Pennsylvania,Wilkes-Barre,S & A Computer Place,1,Lenovo,Legion 5,HDD,2GB,256GB,Kelly,Robinson,514.755.0562x332,jessicalewis@example.com,Michael Smith,Second-hand Sales,Finance,Offline,Medium,24514,29477,257,37516,497,0,490,26174,2022-10-14,N/A
North America,North Carolina,High Point,KyaSand Tech Gadgets,9,Asus,Chromebook Flip C434,SSD,4GB,1TB,Sherry,Martinez,107-319-5384,reneephillips@example.com,Craig Wheeler,New Sales,Bank Transfer,Online,Low,25145,29418,420,0,604,0,297,26923,2023-09-06,2023-09-28
Africa,Botswana,Kgatleng,KyaSand Tech Gadgets,9,Apple,Apple Macintosh SE,HDD,16GB,500GB,Lindsey,Thompson,001-797-775-8379,christina05@example.org,Lisa Williams,Returns,Bank Transfer,Online,Low,14306,19300,26,0,417,0,919,19296,2023-01-18,2023-01-28
North America,Texas,Frisco,A & A PCs,8,Dell,Vostro,SSD,16GB,500GB,Emma,Ibarra,(991)575-5840,scottwagner@example.com,Lauren Morales,Second-hand Sales,Bank Transfer,Offline,High,17579,20625,535,0,727,0,637,18531,2022-03-05,N/A
Africa,Nigeria,Kano,XYZ Tech,5,HP,Elitebook,HDD,2GB,500GB,Kimberly,Brock,250.838.4044x49753,veronica66@example.com,Jennifer Wolf,New Sales,Cash,Offline,High,20271,23430,887,0,637,0,225,20297,2023-06-03,N/A
North America,Pennsylvania,Lebanon,KyaSand Tech Gadgets,2,Apple,Apple MacBook Pro,SSD,4GB,256GB,Bradley,King,+1-181-545-0316x80199,pattonruth@example.net,Carol Wells,Returns,Cash,Offline,Low,15864,20029,507,0,771,0,492,18106,2022-05-23,N/A
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples Region (SNNPR)",Western International PCs,3,Microsoft,Surface Neo,HDD,8GB,256GB,Eric,Villarreal,2643433079,wallacemichael@example.net,Samuel Hurst,Repairs,Bank Transfer,Offline,Low,21644,26554,147,0,634,3057,190,26355,2023-01-10,N/A
Africa,Kenya,Narok,Frankies Hardware and Software,8,MSI,GE76 Raider,HDD,2GB,1TB,Gloria,Johnson,506.012.8629x86685,theodorejohnson@example.net,Kenneth Moore,New Sales,Cash,Offline,High,12089,17033,706,0,444,0,474,16806,2023-10-25,N/A
Africa,Kenya,Embu,KyaSand Tech Gadgets,2,MSI,GE76 Raider,HDD,4GB,256GB,Perry,Nichols,(676)548-6357,vmitchell@example.net,Kenneth Moore,Repairs,Cash,Online,Low,29898,32077,818,0,845,2371,313,31384,2022-03-16,2022-04-12
Africa,Nigeria,Katsina,CK Tech Store,7,Toshiba,Libretto,HDD,16GB,500GB,Lynn,Schmidt,107-113-8080x171,brandiharrison@example.net,Randy Dillon,Repairs,Cash,Online,Low,5895,8353,819,0,790,3960,393,6311,2023-07-04,2023-07-20
Africa,Botswana,North-West,Western International PCs,4,Apple,Apple MacBook Pro,HDD,16GB,256GB,Cassandra,Rojas,(599)680-5602x1916,martinezalyssa@example.com,Lisa Williams,Second-hand Sales,Cash,Online,High,2752,7434,111,0,498,0,127,6261,2023-09-26,2023-10-17
North America,Ohio,Hamilton,Frankies Hardware and Software,5,Acer,Predator Helios 300,HDD,8GB,500GB,Karen,Burke,447-485-8585,patrickdavis@example.org,Mr. Nathan Douglas,Returns,Bank Transfer,Offline,Medium,18794,23001,418,0,654,0,617,18855,2023-05-26,N/A
Africa,Botswana,Ghanzi,A & A PCs,9,MSI,GF63 Thin,SSD,2GB,1TB,Stephanie,Thomas,799-613-4634x8326,kyle26@example.org,Michael Byrd,Second-hand Sales,Finance,Offline,Medium,13973,17781,524,1510,550,0,130,15671,2022-09-08,N/A
